MDS1,MDS2
-73.04751459695488,-1.9951087663229894
9.103386024497905,35.64578038227979
-7.568762505889911,54.921651887365265
-23.88332036631458,53.09054231111474
-63.529949448297685,1.9073120254284022
-23.40205249204737,36.80617152491213
51.93283689254342,122.09768111315832
-49.53711654153746,14.344692775476112
-36.41619720268471,41.42855346465313
-31.875813972665593,36.781920861668716
3.3676831326942454,-36.44366849898013
20.798270019836018,44.44159870981845
-13.137517739445052,31.809743754846686
21.27520845107266,-10.980740578777928
63.57530422822684,48.48142019929535
32.907767155319924,86.32037724183907
25.289462301464074,94.22748005654022
-29.112941280719625,41.98860208920436
18.599533436777808,73.97736616346539
-8.30045506721174,-116.4885157119398
27.253736758060462,-72.97446014321783
-40.16740035791201,14.504466363745124
-23.72059055527589,3.9651704686004883
-19.65823179166883,28.834842595659282
89.58588964745853,130.09907232566673
-78.91814646486439,-27.045916539572605
-136.41305294453755,-61.004084545416866
17.441446286149322,-47.11814164518735
-40.41532039870378,-52.666783940411186
-62.948052756023856,22.620679040359754
-15.03407861785067,-25.65083151905636
22.01384328379089,-16.524923093868825
156.08796133051445,215.72953801059757
136.95886648729348,-103.83858909940784
-45.86017890417176,22.897288863265135
-33.35054570219133,9.988662730137015
-25.613436836307063,-89.42926098369594
53.6592578724998,-9.74600732866029
42.9664695626276,-121.11418653268905
-61.65152100967928,-62.34447883629178
28.688758435963397,-43.786646163018915
-37.40027654035931,2.793600054467362
87.10735047234994,-167.25171649734668
4.608019082877231,-144.80309383287278
5.223427359161075,1.288142003909779
149.47207690885264,-155.3939324020259
27.99370723609523,-101.4855732826296
77.11782740059635,-19.80225251830519
44.13173102871431,-171.26289271700864
325.61865344363173,-353.34758171113396
18.80299326760977,-164.01811997092446
62.513039665413686,-168.52656653371238
-30.855262074106722,-41.15814303638687
-24.08254581731786,43.76743965298756
21.91835284743329,-1.641512561091905
-94.29570688060433,-51.69991276921531
-40.789239204472054,-40.392420087431
-57.612961783420225,-6.808597202621256
0.263750615436879,49.19395655111089
6.807562994020297,63.67621805357529
-63.59039786196448,-44.89096642421989
7.722764292883601,-18.700113189856335
61.44531730776347,-73.13447946090965
-12.364262988013248,39.36370295973849
-7.712482673279883,58.72718857329898
54.75716576854758,105.38403374619021
36.450696535770064,107.13939673978432
-9.586537156258116,65.25354332449248
13.72440838524113,21.618354574493207
30.37718177700477,87.59051099122738
8.352634079523305,22.410863593973005
66.00647874154566,90.57801807503638
-35.95360887590103,27.992559593022573
3.4596892372644406,45.777096553476376
40.65410009942005,89.04809051589973
39.904369361971625,125.7154938607961
-46.13338823105439,38.24592181490382
-53.51618091380419,39.7009461168314
-19.63366818892542,51.2133795734151
56.30466636169046,108.06959543852017
-4.483991931092325,35.35942356200116
-67.10632383749243,-30.92967785393512
-14.637940691798333,-46.80385944657215
32.00033437548277,2.572523002854547
-41.02371874676673,9.70372923820866
-31.058243310615616,-1.9647352901818598
-25.127762503100808,-12.49781762471822
-16.671499794188318,-20.541492605869635
-23.591658250536504,62.96307716632938
34.90443656189546,128.11780881986115
33.94332681163624,131.3428699391095
-34.47754644782966,-10.454148041633697
-44.84956525869457,0.25484686610343676
-7.435674953840747,-111.65944231308653
71.72712328868154,-183.03377916481938
12.684655170989608,7.448510130289764
-62.23895847814022,-14.84709642376111
-27.112871016578776,-52.0894140857937
1.2544805797362513,-5.512880780617255
-78.00741959709177,-16.672299428019414
-30.50191846150911,-34.83306186096756
-4.656076920638769,65.91665153613891
-59.278377528816385,10.363162021583241
-68.20823102636275,20.876400219636395
-54.120154701252964,16.754993773603857
-52.58369147633273,14.919717250013075
-10.199977036191394,72.92824021537423
-24.297683654724125,34.32930198282798
